Code,Name,Price,Retail Price,Stock Level,Product UPC/EAN,Sold out?,Clearance?
13367,Green Ceramic Diamond Pattern Planter Set,38.87,69.95,564,849179010577,FALSE,FALSE
13368,Blue Ceramic Diamond Pattern Planter Set,38.87,69.95,0,849179010584,FALSE,FALSE
13374,Earth Tone Candle Holder with Partridge,7.31,10.95,0,849179010591,FALSE,FALSE
13401,Blue Glass Pedestal Candle Lantern - 16.5 inches,14.55,19.95,615,849179000141,FALSE,FALSE
13685,Flower Power Rings with Display (24),41.63,238.8,0,0,TRUE,FALSE
13721,Applesauce Cake Incense Pack (6),1.29,5.95,13,849179014490,TRUE,FALSE
13740,Demdaco Angel with Children,3.89,9.95,75,849179013394,FALSE,TRUE
13770,Four-Blossom Tiger Lily Candle Holder,11.87,19.95,723,849179001834,FALSE,FALSE
13771,Flamingo Flock Lawn Ornament,20.4,29.95,0,849179003302,FALSE,FALSE
13772,Flirty Flamingo Pair Lawn Decorations,64.13,99.95,302,849179006204,FALSE,FALSE
13773,Scrollwork Fireplace Screen,64.13,99.95,325,849179000332,FALSE,FALSE
13776,Three-Story A-Frame Wood Bird Condo,11.87,19.95,0,849179000134,FALSE,FALSE
13777,Wild West Saloon Bird House,11.07,19.95,91,849179014520,FALSE,FALSE
13778,Moroccan Candle Lamp with Red Beads,20.84,29.95,0,849179001841,FALSE,FALSE
13780,Stainless Steel 7-Piece Cookware Set,37.04,59.95,483,849179010607,FALSE,FALSE
13789,Lighthouse Frosted Candle Lamp,8.29,14.95,418,849179000349,FALSE,FALSE
13793,Orchid Scented Butterfly Candle,5.11,7.95,15,817515011748,FALSE,FALSE
13802,Vista Sunset Windchimes - 26 inches,13.87,19.95,184,849179014452,FALSE,FALSE
13805,Iron Nails Wall Cross,13.87,19.95,0,849179010614,FALSE,FALSE
13807,Pineapple Fountain with Mosaic Accents,127.31,199.95,120,849179004989,FALSE,FALSE
13825,Modern Black Storage Trunk and Two Stools,112.53,169.95,94,849179005474,FALSE,FALSE
13830,Three-Headed Dragon Cone or Stick Incense Holder,7.31,12.95,55,849179001940,FALSE,FALSE
13841,Rustic Triple Barrel Fountain,114.74,199.95,75,849179010621,FALSE,FALSE
13842,Wagon Wheel Two-Tier Rustic Planter,51.51,79.95,161,849179010638,FALSE,FALSE
13843,Old-Fashioned Wheelbarrow Planter,26.24,39.95,291,849179010645,FALSE,FALSE
13854,School Days  Picture Frame with Ruler Border,7.31,10.95,6255,849179010652,FALSE,FALSE
13878,Money Clips  with Art Glass Accents (4),6.49,16.95,284,849179014209,FALSE,TRUE
13895,Silver Swirl Design Oil Warmer,3.32,5.95,1541,849179010669,FALSE,FALSE
13896,Ceramic Elephant Oil Warmer,3.06,5.95,#N/A,849179001964,TRUE,FALSE
13900,Lighted Hummingbird Fountain,91.57,139.95,120,849179010676,FALSE,FALSE
13903,Medieval Dragon Goblet,14.53,19.95,0,849179003432,FALSE,FALSE
13904,Wrought Iron Butterfly Wind Chimes,7.31,9.95,395,849179003531,FALSE,FALSE
13906,Cowboy Boot Bird House,10.54,16.95,795,849179014247,FALSE,FALSE
13907,Dramatic Freeform Sunset Art Glass Vase,38.87,69.95,91,849179001971,FALSE,FALSE
13908,Peacock Feathers Abstract Art Glass Vase,64.13,99.95,88,849179001988,FALSE,FALSE
13911,Solar-Powered Animated Frog Garden Rock,20.84,29.95,430,849179010683,FALSE,FALSE
13912,Solar Animated Hummingbird Garden Rock,20.84,29.95,187,849179010690,FALSE,FALSE
13913,Little Boy with Turtle Solar Garden Light,21.89,29.95,136,849179010706,FALSE,FALSE
13914,Little Girl Feeding Birds Solar Garden Light,21.89,29.95,303,849179010713,FALSE,FALSE
13915,Fairy with Flowers Solar Garden Light,42.72,59.95,27,849179010720,FALSE,FALSE
13917,Single Blossom Lily Candle Holder,6.56,10.95,645,849179002008,FALSE,FALSE
13918,Lily Bouquet Candle Holder,36.54,69.95,451,849179010737,FALSE,FALSE
13919,Two-Blossom Calla Lily Candle Holder,14.53,24.95,1625,849179010744,FALSE,FALSE
13920,Red Rose Candle Holder,10.54,14.95,394,849179002015,FALSE,FALSE
13922,Lily Blossom Wall Candle Holder,9.21,14.95,1180,849179000004,FALSE,FALSE
13923,Red Calla Lily Wall Candle Holder,14.53,19.95,0,849179000011,FALSE,FALSE
13930,Black Six-Panel Candle Lantern - 9.5 inches,13.2,19.95,453,849179002022,FALSE,FALSE
13931,Purple Glass Candle Lantern - 11.5 inches,11.87,19.95,1200,849179000356,FALSE,FALSE
13999,One-Room Schoolhouse Bird House,10.54,16.95,65,849179014735,FALSE,FALSE
14001,Chef Wine Bottle Holder,26.24,39.95,277,849179000042,FALSE,FALSE
14017,Proud Eagle Statue,31.99,49.95,172,849179002145,FALSE,FALSE
14113,Beaded Pendant Wall Candle Holder Pair,10.54,16.95,175,849179002169,FALSE,FALSE
14114,Medieval Candelabra,12.61,19.95,460,849179002183,FALSE,FALSE
14118,Pressed Glass Moroccan Candle Lantern - 10 inches,7.31,10.95,2348,849179000646,FALSE,FALSE
14119,Multi-Colored Glass Moroccan Candle Lantern - 10 inches,7.31,10.95,1600,849179010768,FALSE,FALSE
14120,Blue Glass Domed Candle Lantern - 10.25 inches,7.31,10.95,2296,849179000660,FALSE,FALSE
14121,Blue Glass Hanging Candle Lantern,11.87,19.95,950,849179002244,FALSE,FALSE
14122,Multi-Colored Star Hanging Candle Lantern,11.87,19.95,434,849179002268,FALSE,FALSE
14124,Star Cutout Candle Lantern - White,6.56,10.95,0,849179000707,FALSE,FALSE
14125,Brushed Silver Candle Lantern - 12 inches,17.56,24.95,2139,849179010775,FALSE,FALSE
14126,Burnished Copper Candle Lantern - 12 inches,17.56,24.95,1816,849179010782,FALSE,FALSE
14127,Ivory Triple Hanging Candle Holder,22.19,29.95,921,849179000370,FALSE,FALSE
14128,Five-Candle Jeweled Candelabra,28.82,39.95,514,849179003005,FALSE,FALSE
14198,Wrought Iron Scroll Triple Candle Holder,14.53,24.95,89,849179002275,FALSE,FALSE
14201,Iron Cutouts Fire Pit,114.67,199.95,22,849179010799,FALSE,FALSE
14206,Stainless Steel Six-Piece Stock Pot Set,70.52,99.95,39,849179010805,FALSE,FALSE
14217,Good Karma Soy Blend Jar Candle - Miracles,6.11,9.95,4,849179010812,FALSE,FALSE
14256,Solar-Powered Wall-Mount Garden Lantern,24.65,34.95,451,849179003579,FALSE,FALSE
14257,Feed and Grain Mill Bird House,13.2,19.95,346,849179013998,FALSE,FALSE
14258,Wood Country Store Bird House,13.2,19.95,79,849179010829,FALSE,FALSE
14268,Skeletons & Dragons Dagger with Stand,13.2,19.95,388,849179010843,FALSE,FALSE
14334,Vanilla Mist Gift Sets with Display (30),26.01,89.95,#N/A,849179014414,TRUE,FALSE
14354,Spicy Fragrance Earthtone Flameless Candle,5.98,9.95,1655,817515011786,FALSE,FALSE
14355,Cinnamon Scented Flameless Candle,5.98,9.95,1119,817515011793,FALSE,FALSE
14366,Standard Flameless Candle - White,5.77,7.95,895,849179010850,FALSE,FALSE
14372,Ceramic Lidded Cathedral Candle,6.96,9.99,173,849179014315,FALSE,TRUE
14374,Wine Cork Candle Set,4.97,7.95,577,849179010867,FALSE,FALSE
14381,Velvet-Lined Wood Jewelry Box,20.4,29.95,0,849179010874,FALSE,FALSE
14382,Wood Jewelry Box with Window Lid,13.87,19.95,0,849179010881,FALSE,FALSE
14431,Vanilla Spa Bamboo Basket Gift Set,22.44,29.95,0,849179010898,FALSE,FALSE
14432,Lemongrass & Eucalyptus Willow Basket Gift Set,22.44,29.95,0,849179010904,FALSE,FALSE
14433,Sandalwood Naturals Willow Basket Gift Set,26.24,39.95,0,849179010911,FALSE,FALSE
14469,Adjustable Foldable Laptop Workstation,28.82,39.95,106,849179010928,FALSE,FALSE
14470,USB-Powered Laptop Cooling Fan,8.95,14.95,#N/A,849179010935,TRUE,FALSE
14472,Complete Mani-Pedi Set,17.48,24.95,689,849179010942,FALSE,FALSE
14518,Amber Glass Asymmetrical Vase,2.59,14.95,567,849179014551,FALSE,TRUE
14539,Green Garden Soy Blend Jar Candle,6.11,9.95,0,644124502547,FALSE,FALSE
14543,Green Clover Soy Blend Jar Candle,6.11,9.95,15,644124502509,FALSE,FALSE
14544,Green Mint Soy Blend Jar Candle,6.11,9.95,#N/A,644124502516,FALSE,FALSE
14567,Velvet-Lined Monogram Heart Boxes (72),65.05,199.95,278,849179013547,FALSE,TRUE
14568,My Wish For You Treasure Gift Boxes (18),26.01,69.95,228,849179013707,FALSE,TRUE
14575,Purple Lily Candle Holder,10.54,19.95,79,849179002350,FALSE,FALSE
14576,Wrought Iron Fleur de Lis Scrolled Wall Cross,13.2,19.95,119,849179002367,FALSE,FALSE
14578,Swan and Fairy Coin Bank,8.76,14.95,434,849179006389,FALSE,FALSE
14579,Magical Forest Fairy with Unicorn,9.74,14.95,0,849179000202,FALSE,FALSE
14581,Silver and Black Buddha,9.96,14.95,0,849179002374,FALSE,FALSE
14583,Bronze-Finish Running Stallion,19.25,29.95,736,849179002381,FALSE,FALSE
14584,Sleeping Gnome Garden Welcome,15.46,24.95,137,849179003623,FALSE,FALSE
14587,Inlaid Silver Elephant Candle Holder Set,11.02,14.95,401,849179002404,FALSE,FALSE
14590,Woodstock Cooper Leaf Windchime - 24 inches,20.82,29.95,#N/A,849179003630,TRUE,FALSE
14591,Woodstock Wood-Look Windchime - 36 inches,40.77,59.95,368,849179013646,FALSE,FALSE
14592,Woodstock Dharma Geode Windchime - 18 inches,20.84,29.95,53,849179003647,FALSE,FALSE
14594,Woodstock Verdigris Windchime - 30 inches,15.6,49.95,393,849179003661,FALSE,TRUE
14595,Woodstock Rose Quartz Windchime - 18 inches,11.14,15.99,#N/A,849179013943,FALSE,FALSE
14599,Easter Bunny Candle Holder,3.89,8.95,4,849179013479,TRUE,FALSE
14602,Leopard Double Candle Holder with Oval Shapes,12.61,19.95,621,849179002428,FALSE,FALSE
14604,Iron Owl Votive Candle Stand,8.63,14.95,0,849179010966,FALSE,FALSE
14611,Pourable Food Storage Containers,8.95,12.95,897,849179014087,FALSE,FALSE
14617,Ivory Scrolled Metal Candle Lantern - 9.5 inches,12.28,19.95,0,849179004248,FALSE,FALSE
14623,Distressed Windmill Birdhouse,14.53,19.95,314,849179014186,FALSE,FALSE
14629,Light-Up Flower Pot Easter Decor,5.19,14.95,282,849179013974,FALSE,TRUE
14630,Hanging Hummingbird Planter with Solar Light,13.2,24.95,24,849179011000,FALSE,FALSE
14631,Hanging Butterfly Planter with Solar Light,13.2,24.95,288,849179011017,FALSE,FALSE
14633,Jeweled Candle Holder with Glass Cylinder,11.28,16.95,272,849179005580,FALSE,FALSE
14634,Ivory Lighthouse Candle Lantern - 12 inches,13.2,19.95,816,849179011024,FALSE,FALSE
14637,Ivory Hanging Candle Lantern with Clear Glass,8.95,14.95,112,849179002497,FALSE,FALSE
14638,Multi-Colored Press Glass Candle Lantern - 7.5 inches,7.31,10.95,707,849179004262,FALSE,FALSE
14642,Angel with Cross Stone-Look Solar Garden Light,22.44,29.95,196,849179011031,FALSE,FALSE
14643,Solar Lighted God Bless You Angel Cross,19.44,29.95,195,849179011048,FALSE,FALSE
14650,Wagon Wheel with Buckets Fountain,140.26,199.95,368,849179006563,FALSE,FALSE
14961,Cowboy Saloon Bird House,9.69,16.95,#N/A,849179014131,TRUE,FALSE
14652,Wood Gazebo Wishing Well Garden Planter,140.26,199.95,25,849179011062,FALSE,FALSE
14653,Rustic Wagon Garden Cart,105.49,149.95,0,849179011079,FALSE,FALSE
14654,Elephant Candle Holder Trio,11.28,16.95,1202,849179002534,FALSE,FALSE
14657,Time & Again Flower Soaps with Display (32),19.51,69.95,157,661371160337,FALSE,TRUE
14669,Time & Again Bodyluscious Calming Bath Crystals (24),26.01,79.95,131,661371151373,FALSE,TRUE
14691,Blue Glass Moroccan Hanging Candle Lantern,8.29,14.95,0,849179011086,FALSE,FALSE
14692,Bright Green Hanging Candle Lantern,13.2,19.95,291,849179011093,FALSE,FALSE
14695,Cherubs Figurine with Heart Gem,2.25,3.5,346,849179005597,FALSE,FALSE
