CATEGORY;UNIT UPC;CASE UPC;DESCRIPTION;UNITS PER CASE;X;X;SELL PRICE PER UNIT;SELL PRICE PER CASE;No. OF CASES IN STOCK;NO. OF CASES ORDERED;SUBTOTAL;
AUTOMOTIVE;74245074553;7424507455;FIX-A-FLAT W/HOSE 16 OZ   1X6CS;6;1;6;$4,38;$26,28;900;;$0,00;
AUTOMOTIVE;71948900929;7194890091;GUMOUT 2X FUEL INJ CLN DIESL 6Z;12;2;6;$2,40;$28,80;72;;$0,00;
AUTOMOTIVE;71948900981;7194890097;GUMOUT 2X FUEL INJ LRGE CAR 10Z;12;2;6;$2,04;$24,48;139;;$0,00;
AUTOMOTIVE;71948900943;7194890093;GUMOUT 2X FUEL INJ/CARB CLN 6OZ;12;1;12;$1,26;$15,12;503;;$0,00;
AUTOMOTIVE;71948901001;7194890099;GUMOUT 2X FUEL SYSTM CLNR 6 OZ ;12;1;12;$1,68;$20,16;621;;$0,00;
AUTOMOTIVE;71948900882;7194890087;GUMOUT 2X GAS TREATMNT 6OZ/CS12;12;1;12;$1,32;$15,84;98;;$0,00;
AUTOMOTIVE;71948900707;7194890070;GUMOUT STARTER FLUID   11 OZ   ;12;1;12;$2,01;$24,12;46;;$0,00;
AUTOMOTIVE;78698130514;7869842030;GUNK WINDSHEILD WSHR SOLVNT 6OZ;24;1;24;$0,58;$13,92;2;;$0,00;
AUTOMOTIVE;76171101556;7617110155;LITTLE TREE CAR FRS 1PK BLK IC ;144;6;24;$0,53;$76,32;29;;$0,00;
AUTOMOTIVE;76171103185;7617110318;LITTLE TREE CAR FRS 1PK CINBRY ;144;6;24;$0,55;$79,20;14;;$0,00;
AUTOMOTIVE;76171101891;7617110189;LITTLE TREE CAR FRS 1PK NEW CR ;144;6;24;$0,52;$74,88;235;;$0,00;
AUTOMOTIVE;76171103192;7617110319;LITTLE TREE CAR FRS 1PK PEACHY ;144;6;24;$0,51;$73,44;9;;$0,00;
AUTOMOTIVE;76171101013;7617110101;LITTLE TREE CAR FRS 1PK R/PINE ;144;6;24;$0,53;$76,32;17;;$0,00;
AUTOMOTIVE;76171171528;7617117152;LITTLE TREE CAR FRS 1PK STEEL  ;144;6;24;$0,51;$73,44;24;;$0,00;
AUTOMOTIVE;76171103123;7617110312;LITTLE TREE CAR FRS 1PK STRWBR ;144;6;24;$0,53;$76,32;11;;$0,00;
AUTOMOTIVE;76171103116;7617110311;LITTLE TREE CAR FRS 1PK WLD CHR;144;6;24;$0,53;$76,32;8;;$0,00;
AUTOMOTIVE;76171220219;7617122021;LITTLE TREE CAR FRS 2PK OCEAN  ;72;6;12;$0,81;$58,32;16;;$0,00;
AUTOMOTIVE;76171320018;7617132001;LITTLE TREE CAR FRS 3PAK PINE  ;96;12;8;$1,46;$140,16;4;;$0,00;
AUTOMOTIVE;76171320124;7617132012;LITTLE TREE CAR FRS 3PAK STRW  ;96;12;8;$1,44;$138,24;6;;$0,00;
AUTOMOTIVE;76171320056;7617132005;LITTLE TREE CAR FRS 3PAK VANIL ;96;12;8;$1,44;$138,24;48;;$0,00;
AUTOMOTIVE;76171320551;7617132055;LITTLE TREE CAR FRS 3PK BLK IC ;96;12;8;$1,44;$138,24;133;;$0,00;
